Node,Class,Child mortality (%),Expected Years of Schooling (years),Gross National Income Per Capita (2017 PPP$),Human Development Index (value),Life Expectancy at Birth (years),"Maternal Mortality Ratio (deaths per 100,000 live births)",Mean Years of Schooling (years),GDP,"Fertility rate, total (births per woman)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, infant (per 1,000 live births)"
RWA,0.0,,10.637,1810.584,0.509,65.298,311.781,4.095,9252834120,4.081,210.06,284.929,34.7
UGA,2.0,,11.159,2068.872,0.525,61.086,318.524,5.699,30744473841,5.306,280.116,360.018,39.2
TZA,0.0,3.444,7.919,2270.724,0.507,64.651,329.546,5.494,53274884533,5.088,211.721,285.557,39.1
GNB,0.0,,10.03,1794.241,0.47,59.128,712.527,3.495,1469978606,4.671,265.828,345.857,60.0
CMR,0.0,,12.206,3566.031,0.562,59.658,446.846,5.964,36098547059,4.832,278.456,329.934,57.8
TCD,2.0,,7.421,1800.047,0.388,51.589,1125.372,2.046,10000394381,6.706,346.329,405.939,75.7
GNQ,0.0,,10.622,18499.94,0.648,60.103,201.024,7.895,12200913879,4.774,242.423,308.122,67.8
SSD,0.0,,5.635,684.176,0.381,55.566,1224.722,5.726,,4.937,305.137,373.805,63.8
SDN,2.0,,7.932,4623.755,0.514,64.659,298.293,3.62,41283617976,4.898,176.556,257.011,44.5
GUM,0.0,,,,,,,,6013000000,2.922,94.424,193.633,
MAC,0.0,,,,,,,,50383871121,1.196,27.943,58.024,
MDG,0.0,,10.314,1450.169,0.499,64.339,481.628,4.935,13176313594,4.183,198.543,258.218,45.2
MHL,0.0,,14.543,5510.882,0.688,63.827,,11.836,212935714.7,3.063,255.245,310.541,29.1
PLW,0.0,,16.837,19142.97,0.782,63.746,,12.862,292345764.2,2.21,,,21.0
PRI,0.0,,,,,,,,1.03E+11,1.3365,54.145,146.395,
COM,0.0,,11.826,3167.056,0.556,62.896,260.752,5.149,1077439757,4.418,201.327,275.358,47.3
MYT,0.0,,,,,,,,,,,,
REU,0.0,,,,,,,,,,,,
HRV,1.0,,15.315,25062.69,0.844,77.56,6.146,11.656,56322449844,1.41,51.413,121.652,4.2
CUB,1.0,,13.858,8204.135,0.765,77.772,39.169,11.141,96850649692,1.694,75.194,129.661,4.8
CYP,1.0,,14.828,34359.445,0.874,80.966,42.393,11.865,22946583375,1.326,44.473,74.01,2.4
DJI,0.0,,6.516,4028.334,0.473,61.957,244.33,3.383,2762581334,3.066,224.184,299.039,54.2
YEM,2.0,,8.052,1659.403,0.455,65.873,163.93,2.705,26842229045,4.322,149.098,251.912,38.4
SOM,2.0,,,1024.157,,54.857,760.94,,8252394373,6.978,273.491,350.86,82.7
TUV,0.0,,12.823,5427.233,0.656,64.06,,10.055,45276595.35,3.217,220.319,379.458,21.9
MCO,0.0,,18.509,,,85.258,,,6431271365,,,,2.9
SPM,0.0,,,,,,,,,,,,
GMB,2.0,,8.18,1859.853,0.467,62.494,534.944,3.783,1504909463,5.314,242.0,275.021,39.5
GIB,0.0,,,,,,,,,2.186,43.634,95.915,
GRL,0.0,,,,,,,,2851613679,2.01,129.465,199.838,
GIN,1.0,,9.287,2018.606,0.449,58.134,649.12,2.452,10324668271,5.022,261.918,300.582,71.7
IRN,1.0,,14.887,14020.659,0.782,75.124,20.06,10.215,4.87E+11,2.053,69.95,133.452,13.3
ISR,1.0,,15.047,37315.036,0.899,82.1,2.915,12.96,3.58E+11,3.09,39.687,72.987,3.2
FSM,0.0,,12.922,3896.454,0.642,71.408,63.772,7.38,359000000,2.971,93.232,183.395,25.3
KEN,1.0,,10.937,3755.286,0.575,61.892,482.971,7.027,82036510877,3.8,306.191,394.214,34.1
KGZ,1.0,,12.62,4632.766,0.689,69.996,61.295,11.458,7702938379,3.2,117.865,252.916,19.8
LBN,1.0,,12.048,16418.393,0.756,79.229,19.419,8.449,53027680686,2.178,54.409,77.379,10.9
LBR,0.0,,10.099,1439.82,0.472,59.148,685.592,4.615,3390703400,4.523,278.718,319.026,64.5
MTQ,0.0,,,,,,,,,,,,
NPL,1.0,,12.635,3304.135,0.568,67.456,251.802,3.691,28971588940,2.25,171.946,222.232,31.0
NIU,0.0,,,,,,,,,,,,
PAK,1.0,,6.739,4476.539,0.525,65.697,187.444,5.163,3.39E+11,3.904,143.088,214.322,62.2
MDA,1.0,,14.061,10807.279,0.749,69.24,16.704,11.765,9514404016,1.868,119.204,299.509,13.4
RUS,1.0,,15.199,24770.752,0.823,72.101,10.467,12.374,1.57E+12,1.777,,,6.6
LCA,0.0,,13.743,13070.208,0.736,73.138,79.595,8.419,1998503704,1.473,90.863,175.032,16.2
WSM,0.0,,12.23,5699.754,0.71,72.515,58.0,11.541,884844384.5,4.357,107.913,172.653,15.9
STP,0.0,,12.41,3750.311,0.595,67.249,139.23,5.576,322002845.2,4.387,192.672,284.995,18.4
SGP,1.0,,16.568,84156.782,0.935,82.826,7.553,11.571,3.43E+11,1.24,36.033,64.373,2.2
SLB,0.0,,10.437,2487.588,0.562,69.583,140.9,5.707,1469789119,4.356,153.308,198.706,19.4
PSE,1.0,,13.239,6807.37,0.71,74.406,26.303,9.076,16128000000,4.046,85.457,126.21,15.8
SYR,1.0,,8.006,4482.214,0.552,65.124,30.483,5.959,16369843341,3.049,143.58,329.561,26.7
TJK,1.0,,10.917,3438.979,0.651,69.306,20.376,11.349,7536402853,3.459,127.552,200.803,32.7
TLS,0.0,,13.186,5649.423,0.621,67.137,285.349,5.275,1598208400,3.903,163.928,210.56,51.5
TON,0.0,,15.595,5699.218,0.723,70.607,86.412,10.883,460374354.8,3.562,156.78,237.489,10.7
TKM,0.0,,11.611,13657.417,0.725,68.782,5.762,10.825,37926285714,2.93,120.273,236.782,36.7
UZB,1.0,,11.723,6489.982,0.701,70.475,30.688,11.357,62081322740,2.491,121.508,212.748,17.7
VEN,1.0,,13.858,17511.156,0.766,73.006,125.77,9.641,,2.34,92.48,216.575,16.6
WLF,0.0,,,,,,,,,,,,
