Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Mozambique,MOZ,293.808
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Myanmar,MMR,163.309
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Namibia,NAM,319.94
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Nauru,NRU,264.392
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Nepal,NPL,171.946
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Netherlands,NLD,49.464
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,New Caledonia,NCL,60.028
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,New Zealand,NZL,52.403
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Nicaragua,NIC,104.225
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Niger,NER,213.254
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Nigeria,NGA,364.599
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,North Macedonia,MKD,59.986
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Northern Mariana Islands,MNP,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Norway,NOR,41.989
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Oman,OMN,58.534
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Pakistan,PAK,143.088
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Palau,PLW,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Panama,PAN,76.456
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Papua New Guinea,PNG,181.246
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Paraguay,PRY,115.349
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Peru,PER,90.768
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Philippines,PHL,118.793
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Poland,POL,63.434
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Portugal,PRT,42.462
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Puerto Rico,PRI,54.145
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Qatar,QAT,42.036
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Romania,ROU,76.955
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Russian Federation,RUS,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Rwanda,RWA,210.06
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Samoa,WSM,107.913
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,San Marino,SMR,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Sao Tome and Principe,STP,192.672
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Saudi Arabia,SAU,78.663
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Senegal,SEN,149.47
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Serbia,SRB,69.586
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Seychelles,SYC,85.098
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Sierra Leone,SLE,258.226
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Singapore,SGP,36.033
