,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
10,0.09416171,-0.04884525,-0.3068774,0.09617535,0.0432344,0.02366069,-0.1587366,0.047685884,0.21602783,0.20816062,0.3836749,-0.010250907,0.017594904,0.3542447,-0.040178657,0.02705774,-0.24556725,0.0059045837,0.022784589,-0.017871298,-0.22858387,-0.105294675,-0.29817873,0.076391555,0.15129276,-0.13080144,0.18588805,0.07633673,-0.2186523,-0.057504512,-0.13904609,-0.08267297,-0.030618344,-0.5152712,0.1430876,-0.17739934,0.34156775,0.25315467,-0.0009301045,0.02730041,-0.13707277,-0.029489826,0.21030495,0.18855691,0.12723671,0.340913,-0.03512879,-0.26655945,0.15695293,-0.04877987,-0.053842876,-0.23176832,0.066297926,0.018338606,0.09748769,0.1331944,0.58429575,0.5890263,0.14384872,-0.16357717,0.31704488,-0.34198257,0.14575423,-0.04797346,-0.3211692,0.38762513,0.09985727,-0.25959358,-0.3572566,-0.17956758,0.2827416,0.2658741,0.08808089,-0.34361896,0.06882166
11,0.4754079,-0.2184192,-0.7204105,-0.5719589,0.7231661,0.21335115,-0.07818825,-0.38386643,0.5337438,0.35004243,0.15964347,-0.10863677,-0.012212035,0.2814812,-0.0998497,-0.56604004,0.44667268,-0.5149616,0.060087252,-0.5811923,0.111483924,0.25474444,-0.27038,0.11788868,0.5531261,-0.2849146,-0.14101943,-0.19375625,-0.427628,-0.041312933,0.033947393,0.35955215,0.026820876,-0.61468923,-0.43614787,0.22490138,0.7557374,-0.1519408,-0.44778267,0.5855777,-0.42672178,0.49351418,0.91512567,0.036164023,0.06071614,0.9423208,0.18338333,-0.409723,0.332717,0.17634846,0.31118116,-0.79718065,-0.5821966,-0.14802301,0.17004919,-0.1321567,0.19129305,0.8418593,-0.13004664,-0.02460147,0.09704876,0.12116684,0.5328164,-0.15157385,-0.25716794,0.21634987,0.13761367,-0.28626037,-0.20432584,-0.28688192,0.048635364,-0.013795908,-0.012262271,-0.80795074,0.49549186
12,0.7463873,-0.3095777,-1.1640958,-0.9907145,1.0381044,0.35473928,-0.08182641,-0.6389982,0.49853733,0.3986702,-0.12364235,0.042417184,-0.11339287,0.27243713,-0.12357097,-0.6940669,0.72019833,-0.6889142,0.17401862,-0.8530003,0.27389923,0.45903295,-0.149929,0.22592701,0.6748118,-0.41956246,-0.3597483,-0.43088984,-0.48946956,0.0045095496,-0.06303777,0.6158125,0.0010364878,-0.8174903,-0.8718315,0.6577248,0.90363586,-0.3452504,-0.6124096,0.9743949,-0.42893428,0.9201931,1.2889159,-0.09986485,0.37998503,1.0034107,0.35624838,-0.33059612,0.37414157,0.40955645,0.55023235,-1.1265496,-1.0544133,-0.30864125,0.29971758,-0.30370504,-0.2707538,0.8272045,-0.30758145,-0.2663175,0.05856051,0.37650177,0.74498117,-0.28418964,-0.20231603,0.20599651,0.19558834,-0.2741176,-0.15984818,-0.21089825,-0.0870804,-0.27365357,-0.15627874,-1.2255394,0.52851284
13,-0.18841968,0.5406801,0.4303049,0.01803038,-0.11927897,-0.12775733,-0.5456386,0.28915283,-0.05626512,-0.784416,-0.107680865,0.48796463,0.015660642,0.38878155,-0.11967148,-0.036823858,0.5446958,-0.09654686,-0.38921887,-0.01035107,-0.0015943006,0.03474884,0.8946963,-0.13443814,-0.031005906,0.17259645,-0.750829,0.6256544,-0.019790845,-0.3428395,-0.71264225,0.8269391,0.056020353,0.14979135,-0.4887773,0.31065506,-0.31864658,0.118404225,-0.01691981,-0.8381166,0.4822452,0.22405256,-0.18056321,-1.0092645,0.09508177,-0.57780737,0.02205122,0.5808709,-0.23132755,0.5804187,0.01655475,0.043206464,-0.13311918,-0.5488375,0.31223536,-0.025230145,-0.6177175,-0.196223,-0.58170503,0.33180523,-0.6361147,-0.027504912,0.46776065,-0.08525101,0.46168602,-0.14208168,0.06251401,0.1697325,0.19758955,0.66239005,-0.06365017,0.07791339,-0.61929715,0.49555865,-0.22366065
14,-0.19102862,0.21549591,-0.06722334,0.047285438,-0.21934493,-0.1451333,-0.4300391,0.17465511,0.14100592,-0.39300993,0.07078685,0.26506805,0.1729853,0.14382295,-0.11440221,0.052248046,0.20875095,-0.14577924,-0.31158435,-0.034776647,-0.33472508,-0.059457306,0.31334922,0.105626255,0.22833651,0.0451783,-0.17620644,0.52051336,-0.3283613,-0.21874782,-0.5080761,0.12959126,-0.11369812,-0.41322598,-0.2339126,-0.28525117,0.014046576,0.022033071,-0.15203033,-0.35582665,0.17655466,0.23602349,0.29949623,-0.4368589,0.16137786,0.025657933,-0.06965702,0.12918909,0.20294677,0.18156797,-0.046417546,-0.26968634,-0.162714,-0.22473875,0.27622768,0.115932055,0.12074093,0.35577682,-0.4071186,0.22644952,-0.16759731,-0.11544578,0.3890131,-0.14755194,0.15899396,0.19489571,-0.0519284,-0.14601828,-0.26814607,0.32245398,0.21355045,0.19609211,-0.041966867,-0.124869265,-0.08895959
15,0.523694,-0.2660068,-0.81150067,-0.6918896,0.84628516,0.22463158,-0.055596106,-0.45814076,0.5969719,0.43658197,0.18805493,-0.14980115,-0.028127903,0.29871207,-0.089874335,-0.65861595,0.49327743,-0.533239,0.13424206,-0.6244976,0.18715866,0.298774,-0.32306138,0.12745914,0.62930053,-0.32804352,-0.124342225,-0.2700167,-0.4611376,-0.029990694,0.12001021,0.40380993,0.035349615,-0.6762471,-0.46050683,0.25691667,0.85811555,-0.13573669,-0.52160966,0.6549225,-0.49317998,0.547666,0.994655,0.11391808,0.056063402,1.0962343,0.21262781,-0.4984556,0.36111796,0.17565246,0.37905777,-0.8472046,-0.6235929,-0.15703118,0.169911,-0.15604801,0.23120646,0.9152466,-0.120663,-0.04805881,0.14937896,0.14340095,0.5567112,-0.18952282,-0.32318115,0.2755613,0.17914657,-0.31470987,-0.16902277,-0.3412184,0.035584584,0.0056210035,0.028921429,-0.8377023,0.57745606
16,0.7694441,-0.38796994,-1.0742275,-0.8498119,1.0250723,0.40417746,0.10464875,-0.58719015,0.2789231,0.40272376,-0.110350356,0.034863763,-0.2375551,0.278844,-0.10496165,-0.5790993,0.5336499,-0.46658972,0.22979587,-0.76469564,0.3377512,0.39541176,-0.2819296,0.20309907,0.38365543,-0.4102519,-0.37721956,-0.4651401,-0.4212629,0.030279266,-0.029410198,0.549004,-0.095150195,-0.65852016,-0.6652408,0.92203903,0.919801,-0.18879965,-0.4607606,0.95870674,-0.4037989,0.7501441,1.006197,-0.042935144,0.41762623,0.7574488,0.47525284,-0.2985422,0.3447443,0.46491814,0.48299932,-0.9811428,-0.94295937,-0.16647342,0.11490941,-0.30971402,-0.264604,0.6591002,-0.0694068,-0.34154248,0.10892542,0.30887505,0.60171217,-0.18991104,-0.28647435,0.04641516,0.26280108,-0.13048816,-0.19527146,-0.21997455,-0.18671167,-0.3172162,-0.3744533,-1.2306881,0.3982003
17,-0.37394905,0.50582767,0.26731336,0.27154997,-0.49218312,-0.31113738,-0.79178363,0.35725123,-0.028131183,-0.80685043,-0.030418744,0.55729294,0.1863327,0.2182445,-0.114077464,0.16000475,0.3694934,-0.0810825,-0.5196502,0.08533639,-0.42570874,-0.083503745,0.7745934,-0.08224916,0.1294477,0.17635885,-0.46860644,0.7902012,-0.14233378,-0.30469924,-0.8278945,0.5034809,0.017338583,-0.25444713,-0.4511814,-0.2696816,-0.3648999,0.06503971,0.027485564,-0.8368571,0.5978554,0.20561418,0.017280577,-0.8936682,0.22251764,-0.35720065,-0.20701908,0.567354,-0.048110887,0.28847554,-0.14977725,-0.091514386,-0.032815915,-0.5540661,0.4467983,0.20000935,-0.24872594,0.08927049,-0.73509324,0.40932143,-0.5092729,-0.14932968,0.5829577,-0.14410144,0.4167606,0.12364284,-0.12928675,-0.10684767,-0.06854046,0.57307714,0.19739597,0.23328531,-0.19955891,0.24713247,-0.22945961
18,0.6572356,-0.31486267,-0.94770783,-0.73411006,0.9605024,0.29305598,-0.05378167,-0.4883548,0.62681943,0.40252241,0.17462078,-0.19190514,0.018573847,0.2730391,-0.031048637,-0.7532093,0.55140036,-0.65282834,0.09042337,-0.8013362,0.16141981,0.33541515,-0.3717749,0.16904743,0.6530042,-0.35072625,-0.1997717,-0.23069647,-0.55846983,-0.016964262,0.034157507,0.41593122,-0.04423356,-0.7979287,-0.5192707,0.28949392,0.9380013,-0.23810953,-0.5913493,0.8098025,-0.56721777,0.6165482,1.1918571,0.00790635,0.10576123,1.2052331,0.2669066,-0.5536185,0.459029,0.25632352,0.356525,-1.1136887,-0.8115061,-0.17733306,0.10046122,-0.1499879,0.25079894,1.04542,-0.18937121,-0.08488412,0.12061624,0.1818021,0.7020549,-0.15925394,-0.3563153,0.21887097,0.22979075,-0.31062537,-0.33638474,-0.28109986,0.047394473,0.00657546,-0.00871641,-1.1383332,0.6812761
19,-0.25022474,0.10674892,-0.061822236,0.095481776,-0.31477523,-0.19079804,-0.45027485,0.19797224,0.1323058,-0.12909265,0.21335942,0.15153886,0.16910326,0.26029676,-0.15689681,0.13993424,-0.091026135,-0.03914921,-0.27314875,0.08000615,-0.46963271,-0.12950182,0.1584268,0.11390304,0.16839473,0.0076848553,0.039408356,0.40328357,-0.37093002,-0.20808552,-0.38558578,-0.040954437,-0.109547034,-0.39004207,0.008387784,-0.5541043,0.13923799,0.110197574,-0.07713279,-0.38793865,0.15454929,0.0732262,0.24038368,-0.18066666,0.13781552,0.08269037,-0.06649124,-0.016127955,0.22132856,0.04032282,-0.12466465,-0.25700718,0.0644604,-0.10188522,0.2774147,0.13753171,0.44856173,0.4895324,-0.18673763,0.045497492,0.044369627,-0.3542844,0.25524,-0.12148405,0.08182901,0.35673472,-0.056191713,-0.25069144,-0.44330302,0.16017053,0.36046168,0.30702576,0.07805485,-0.06124012,-0.105388686
