Country Name,Country Code,2015 [YR2015]
Mali,MLI,6.385
Malta,MLT,1.37
Marshall Islands,MHL,3.063
Mauritania,MRT,4.813
Mauritius,MUS,1.36
Mexico,MEX,2.137
"Micronesia, Fed. Sts.",FSM,2.971
Moldova,MDA,1.868
Monaco,MCO,..
Mongolia,MNG,3.01
Montenegro,MNE,1.74
Morocco,MAR,2.531
Mozambique,MOZ,5.062
Myanmar,MMR,2.248
Namibia,NAM,3.604
Nauru,NRU,3.827
Nepal,NPL,2.25
Netherlands,NLD,1.66
New Caledonia,NCL,2.08
New Zealand,NZL,1.99
Nicaragua,NIC,2.48
Niger,NER,7.211
Nigeria,NGA,5.616
North Macedonia,MKD,1.49
Northern Mariana Islands,MNP,..
Norway,NOR,1.72
Oman,OMN,2.959
Pakistan,PAK,3.904
Palau,PLW,2.21
Panama,PAN,2.564
Papua New Guinea,PNG,3.558
Paraguay,PRY,2.645
Peru,PER,2.338
Philippines,PHL,2.951
Poland,POL,1.32
Portugal,PRT,1.31
Puerto Rico,PRI,1.3365
Qatar,QAT,1.864
Romania,ROU,1.62
Russian Federation,RUS,1.777
Rwanda,RWA,4.081
Samoa,WSM,4.357
San Marino,SMR,..
Sao Tome and Principe,STP,4.387
Saudi Arabia,SAU,2.637
Senegal,SEN,4.781
Serbia,SRB,1.46
Seychelles,SYC,2.31
Sierra Leone,SLE,4.548
Singapore,SGP,1.24
Sint Maarten (Dutch part),SXM,1.73
Slovak Republic,SVK,1.4
Slovenia,SVN,1.57
Solomon Islands,SLB,4.356
Somalia,SOM,6.978
South Africa,ZAF,2.359
South Sudan,SSD,4.937
Spain,ESP,1.33
Sri Lanka,LKA,2.091
St. Kitts and Nevis,KNA,1.643
St. Lucia,LCA,1.473
St. Martin (French part),MAF,2.558
St. Vincent and the Grenadines,VCT,2.099
Sudan,SDN,4.898
Suriname,SUR,2.494
Sweden,SWE,1.85
Switzerland,CHE,1.54
Syrian Arab Republic,SYR,3.049
Tajikistan,TJK,3.459
Tanzania,TZA,5.088
Thailand,THA,1.469
Timor-Leste,TLS,3.903
Togo,TGO,4.594
Tonga,TON,3.562
Trinidad and Tobago,TTO,1.682
Tunisia,TUN,2.251
Turkiye,TUR,2.194
Turkmenistan,TKM,2.93
Turks and Caicos Islands,TCA,1.67
Tuvalu,TUV,3.217
Uganda,UGA,5.306
Ukraine,UKR,1.506
United Arab Emirates,ARE,1.486
United Kingdom,GBR,1.8
United States,USA,1.8435
Uruguay,URY,2.023
Uzbekistan,UZB,2.491
Vanuatu,VUT,4.006
"Venezuela, RB",VEN,2.34
Viet Nam,VNM,1.951
Virgin Islands (U.S.),VIR,2.11
West Bank and Gaza,PSE,4.046
"Yemen, Rep.",YEM,4.322
Zambia,ZMB,4.793
Zimbabwe,ZWE,3.849
Africa Eastern and Southern,AFE,4.677617736
Africa Western and Central,AFW,5.385059308
Arab World,ARB,3.471038097
Caribbean small states,CSS,2.1386125
Central Europe and the Baltics,CEB,1.462299899
Early-demographic dividend,EAR,2.589374388
East Asia & Pacific,EAS,1.830031815
East Asia & Pacific (excluding high income),EAP,1.874160654
East Asia & Pacific (IDA & IBRD countries),TEA,1.874049946
Euro area,EMU,1.548176125
Europe & Central Asia,ECS,1.775057716
Europe & Central Asia (excluding high income),ECA,2.156279024
